lat_deg,lon_deg,population,location
40.7128,-74.0060,19800000,New York
34.0522,-118.2437,12800000,Los Angeles
41.8781,-87.6298,9600000,Chicago
32.7767,-96.7970,7700000,Dallas-Fort Worth
29.7604,-95.3698,7500000,Houston
38.9072,-77.0369,6700000,Washington DC
25.7617,-80.1918,6300000,Miami
39.9526,-75.1652,6200000,Philadelphia
33.7490,-84.3880,6200000,Atlanta
33.4484,-112.0740,5100000,Phoenix
42.3601,-71.0589,5000000,Boston
37.7749,-122.4194,4700000,San Francisco
34.1083,-117.2898,4600000,Riverside
42.3314,-83.0458,4300000,Detroit
47.6062,-122.3321,4000000,Seattle
44.9778,-93.2650,3700000,Minneapolis
32.7157,-117.1611,3300000,San Diego
27.9506,-82.4572,3200000,Tampa
39.7392,-104.9903,3000000,Denver
39.2904,-76.6122,2800000,Baltimore
38.6270,-90.1994,2800000,St Louis
28.5383,-81.3792,2700000,Orlando
35.2271,-80.8431,2700000,Charlotte
29.4241,-98.4936,2600000,San Antonio
45.5152,-122.6784,2500000,Portland
30.2672,-97.7431,2400000,Austin
38.5816,-121.4944,2400000,Sacramento
40.4406,-79.9959,2300000,Pittsburgh
36.1699,-115.1398,2300000,Las Vegas
39.1031,-84.5120,2200000,Cincinnati
39.0997,-94.5786,2200000,Kansas City
39.9612,-82.9988,2200000,Columbus
39.7684,-86.1581,2100000,Indianapolis
41.4993,-81.6944,2000000,Cleveland
36.1627,-86.7816,2000000,Nashville
37.3382,-121.8863,2000000,San Jose
36.8529,-75.9780,1800000,Virginia Beach
41.8240,-71.4128,1700000,Providence
43.0389,-87.9065,1600000,Milwaukee
30.3322,-81.6557,1600000,Jacksonville
35.7796,-78.6382,1500000,Raleigh
35.4676,-97.5164,1500000,Oklahoma City
35.0844,-106.6504,900000,Albuquerque
35.1495,-90.0490,1300000,Memphis
38.2527,-85.7585,1300000,Louisville
29.9511,-90.0715,1300000,New Orleans
40.7608,-111.8910,1300000,Salt Lake City
37.5407,-77.4360,1300000,Richmond
41.7658,-72.6734,1200000,Hartford
33.5186,-86.8104,1100000,Birmingham
42.8864,-78.8784,1100000,Buffalo
32.0809,-81.0912,400000,Savannah
30.4383,-84.2807,400000,Tallahassee
44.9537,-93.0900,3700000,St Paul
21.3069,-157.8583,1000000,Honolulu
61.2181,-149.9003,400000,Anchorage
64.8378,-147.7164,100000,Fairbanks
